english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
How to Train Your Dragon 2;Drachenzähmen leicht gemacht 2;PG;2014;Animation, Action, Adventure;Dean DeBlois;Dean DeBlois, Cressida Cowell;movie;7.8;Drachenzähmen leicht gemacht, How to Train Your Dragon
How to Train Your Dragon: The Hidden World;Drachenzähmen leicht gemacht 3: Die geheime Welt;PG;2019;Animation, Action, Adventure;Dean DeBlois;Dean DeBlois, Cressida Cowell;movie;7.4;Drachenzähmen leicht gemacht, How to Train Your Dragon
DreamWorks Dragons;Dragons – Die Reiter von Berk | DreamWorks Dragons;TV-Y7;2012;Animation, Action, Adventure;;;series;7.9;Drachenzähmen leicht gemacht, How to Train Your Dragon
Dragons: Race to the Edge;Dragons – Auf zu neuen Ufern;TV-Y7-FV;2015;Animation, Action, Adventure;;;series;8.2;Drachenzähmen leicht gemacht, How to Train Your Dragon
How to Train Your Dragon: Homecoming;Drachenzähmen leicht gemacht: Heimkehr;TV-PG;2019;Animation, Action, Adventure;Tim Johnson;Jonathan Groff, Jon Pollack, Cressida Cowell;movie;7.3;Drachenzähmen leicht gemacht, How to Train Your Dragon
The Maze Runner;Maze Runner – Die Auserwählten im Labyrinth;PG-13;2014;Action, Mystery, Sci-Fi;Wes Ball;Noah Oppenheim, Grant Pierce Myers, T.S. Nowlin;movie;6.8;The Maze Runner, Maze Runner
Maze Runner: The Scorch Trials;Maze Runner – Die Auserwählten in der Brandwüste;PG-13;2015;Action, Adventure, Sci-Fi;Wes Ball;T.S. Nowlin, James Dashner;movie;6.3;The Maze Runner, Maze Runner
Maze Runner: The Death Cure;Maze Runner – Die Auserwählten in der Todeszone;PG-13;2018;Action, Adventure, Sci-Fi;Wes Ball;T.S. Nowlin, James Dashner;movie;6.3;The Maze Runner, Maze Runner
Scream;Scream – Schrei!;R;1996;Horror, Mystery;Wes Craven;Kevin Williamson;movie;7.4;Scream
Scream 2;Scream 2;R;1997;Horror, Mystery;Wes Craven;Kevin Williamson;movie;6.3;Scream
Scream 3;Scream 3;R;2000;Horror, Mystery;Wes Craven;Kevin Williamson, Ehren Kruger;movie;5.7;Scream
